instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
7110,,,,,,,,-1,1
7122,,,,,,,,-1,1
7239,,,,,,,,-1,1
7263,TP,True,605852.6460910216,0.09259259259259259,0.7687843087188163,0.705226393354713,0.9808708882226472,,
7278,,,,,,,,-1,1
7332,TP,True,480329.36921401415,0.09259259259259259,0.9418037689850717,0.7941533883225917,0.9793815854106587,,
7343,TP,True,370601.7465699697,0.09259259259259259,0.9738128290102602,0.5458911675734136,0.9291462429985194,,
7346,,,,,,,,-1,1
7411,,,,,,,,-1,1
7434,TN,True,460944.3068820983,0.09259259259259259,0.27552491504626714,0.04627193345648052,0.9081907587618911,,
7478,TN,True,476177.6057559764,0.09259259259259259,0.946450476151849,0.24111823956803832,0.8294933552153059,,
7484,TP,True,447901.0642320063,0.09259259259259259,0.9973624591413817,0.691538666446751,0.9954351284220142,,
7506,,,,,,,,-1,1
7513,,,,,,,,-1,1
7559,TN,True,275978.53619407397,0.09259259259259259,0.7204187446853983,0.06379522878191118,0.9559180381326732,,
7604,,,,,,,,-1,1
7631,,,,,,,,-1,1
7632,,,,,,,,-1,1
7634,,,,,,,,-1,1
7664,TN,True,261296.87447613105,0.09259259259259259,0.3559273939144162,0.0479954091664728,0.885382133015434,,
7691,,,,,,,,-1,1
7703,TP,True,416790.1027179905,0.09259259259259259,0.9803038048965436,0.5390023710473583,0.9914382744714455,,
7716,,,,,,,,-1,1
7719,TP,True,439870.2994839987,0.09259259259259259,0.9425851143574335,0.632174854321632,0.9142075094795472,,
7748,TP,True,445864.52341801487,0.09259259259259259,0.9514666696360126,0.68872948593684,0.965239087628716,,
7773,,,,,,,,-1,1
7809,TN,True,318979.5170449652,0.09259259259259259,0.9557562849893724,0.25558451007561905,0.9337817170014353,,
7811,,,,,,,,-1,1
7814,,,,,,,,-1,1
7834,TP,True,533215.6692559365,0.09259259259259259,0.9285058852041459,0.6635537607351948,0.9086185916487892,,
7876,TP,True,477584.66901199427,0.09259259259259259,0.8073811576365225,0.68562393443419,0.9820203206204607,,
7898,,,,,,,,-1,1
7951,,,,,,,,-1,1
7956,,,,,,,,-1,1
7996,,,,,,,,-1,1
