model,method,seed,n,instance_id,masking_scheme,topk_gap,top_feature_corr,n_features_masked_topk
rf,shap,123,50,670,mean,0.14969368353200757,0.40652036287478854,5.0
rf,shap,123,50,670,marginal,0.23621608699159316,0.512786011858965,5.0
rf,shap,123,50,670,grouped_mean,0.3090540185197459,0.06266207112700536,35.0
rf,shap,123,50,881,zero,0.21200965036378908,0.825802877939724,5.0
rf,shap,123,50,881,mean,0.21200965036378897,0.8258028779397244,5.0
rf,shap,123,50,881,marginal,0.5257160966657682,0.8710706622510088,5.0
rf,shap,123,50,881,grouped_mean,0.044581449560895214,0.33670777226391674,34.0
rf,shap,123,50,908,zero,0.4782167235688948,0.5103761735764168,5.0
rf,shap,123,50,908,mean,0.46661705246842244,0.5106092957841867,5.0
rf,shap,123,50,908,marginal,0.4195289177817168,0.7269764781324509,5.0
rf,shap,123,50,908,grouped_mean,0.48488491437162407,0.12557634748026958,41.0
rf,shap,123,50,1018,zero,0.10156370881453369,-0.10180363656431594,5.0
rf,shap,123,50,1018,mean,0.10156370881453365,0.18914242060516323,5.0
rf,shap,123,50,1018,marginal,0.20973957193996337,0.758101586304176,5.0
rf,shap,123,50,1018,grouped_mean,0.16900797776705231,0.40816381702597404,40.0
rf,shap,123,50,1019,zero,0.1308816845719234,0.13426464195208948,5.0
rf,shap,123,50,1019,mean,0.12174569408624908,0.22096682402157686,5.0
rf,shap,123,50,1019,marginal,0.09968906704910246,0.10365659104557877,5.0
rf,shap,123,50,1019,grouped_mean,0.3046244786685269,0.00511154431425119,35.0
rf,shap,123,50,1024,zero,0.4838553552386441,0.39098738412052036,5.0
rf,shap,123,50,1024,mean,0.483855355238644,0.3909873841205201,5.0
rf,shap,123,50,1024,marginal,0.30130909454409865,0.2724001993179362,5.0
rf,shap,123,50,1024,grouped_mean,0.47766624345158304,0.020033095378642257,40.0
rf,shap,123,50,1179,zero,0.3699972500488376,0.3699427472465366,5.0
rf,shap,123,50,1179,mean,0.36999725004883777,0.36994274724653514,5.0
rf,shap,123,50,1179,marginal,0.3127311850833426,0.33006005247988507,5.0
rf,shap,123,50,1179,grouped_mean,0.5843290814626714,-0.09113551649012175,34.0
rf,shap,123,50,1269,zero,0.00883150068394678,0.7575106234629904,5.0
rf,shap,123,50,1269,mean,0.008831500683946836,0.7575106234629904,5.0
rf,shap,123,50,1269,marginal,0.1102678932564491,0.8859018728070837,5.0
rf,shap,123,50,1269,grouped_mean,0.10222181968884736,0.20004217792742676,58.0
rf,shap,123,50,1314,zero,0.07342768081603196,0.5232145622830702,5.0
rf,shap,123,50,1314,mean,0.0804735619057326,0.5062424597596613,5.0
rf,shap,123,50,1314,marginal,0.1344792688341557,0.3910606069559395,5.0
rf,shap,123,50,1314,grouped_mean,0.052456211442323236,0.1987065222547318,40.0
rf,shap,123,50,1332,zero,0.4884842220216638,0.5861095829565349,5.0
rf,shap,123,50,1332,mean,0.48848422202166375,0.5406401108205032,5.0
rf,shap,123,50,1332,marginal,0.301853177490818,0.7931147843945718,5.0
rf,shap,123,50,1332,grouped_mean,0.45701246974500664,0.22744308569519406,34.0
rf,shap,123,50,1388,zero,0.34324602599570975,0.299872865283305,5.0
rf,shap,123,50,1388,mean,0.3411418511340595,0.29987286528330676,5.0
rf,shap,123,50,1388,marginal,0.2400340166654529,0.40806485386466584,5.0
rf,shap,123,50,1388,grouped_mean,0.5690265820124081,-0.1885556425230959,58.0
