experiment,dataset,model,explainer,seed,n,source,path,fidelity,stability,sparsity,faithfulness_gap,cost,duration_s
exp2,adult,mlp,lime,456,100,raw,experiments/exp2_scaled/results/mlp_lime/seed_456/n_100/results.json,0.5533617336455624,0.002898464141105613,0.08474537037037039,0.3488778503947178,3.2975179504137486,21.149339
exp2,adult,mlp,lime,456,200,raw,experiments/exp2_scaled/results/mlp_lime/seed_456/n_200/results.json,0.5486650322596283,0.0027507314065446276,0.08484953703703703,0.35116624446244044,3.1873574066412402,41.04012
exp2,adult,mlp,lime,789,50,raw,experiments/exp2_scaled/results/mlp_lime/seed_789/n_50/results.json,0.5177427556624393,0.017342879106735883,0.0850925925925926,0.3198741558710003,3.268639224997969,10.662231
exp2,adult,mlp,lime,789,100,raw,experiments/exp2_scaled/results/mlp_lime/seed_789/n_100/results.json,0.526717083737779,0.015864636437923272,0.08421296296296293,0.34637776467253617,3.2006711556459777,20.738548
exp2,adult,mlp,lime,789,200,raw,experiments/exp2_scaled/results/mlp_lime/seed_789/n_200/results.json,0.5451374919460733,0.016566462395427303,0.08586805555555553,0.3534658236580245,2.8190761161386035,36.839556
exp2,adult,mlp,lime,999,50,raw,experiments/exp2_scaled/results/mlp_lime/seed_999/n_50/results.json,0.5318732910425891,0.010734328779236862,0.08407407407407405,0.3487815060165825,2.8218012445722707,9.272628
exp2,adult,mlp,lime,999,100,raw,experiments/exp2_scaled/results/mlp_lime/seed_999/n_100/results.json,0.5373938138177465,0.01176819424844653,0.08553240740740739,0.35542428921184394,3.311047920033161,21.118765
exp2,adult,mlp,lime,999,200,raw,experiments/exp2_scaled/results/mlp_lime/seed_999/n_200/results.json,0.5495373520424094,0.011780203693325162,0.0861574074074074,0.3633444910428237,3.302071094940402,41.947218
exp2,adult,mlp,shap,42,50,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s42_n50,0.7272829675690485,0.339002990562621,0.09259259259259257,0.38679955077320616,694.5557963717147,3093.871713
exp2,adult,mlp,shap,42,100,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s42_n100,0.7266618828336209,0.346499524351255,0.09259259259259257,0.37687826784172523,699.1376014170237,6011.438032
exp2,adult,mlp,shap,42,200,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s42_n200,0.7306666433281586,0.340423146997562,0.09259259259259257,0.3884918011726677,455.58718026819406,7743.839193
exp2,adult,mlp,shap,123,50,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s123_n50,0.7173165617024394,0.31155933556715293,0.09259259259259257,0.3689921801934198,403.09903931221925,1759.355313
exp2,adult,mlp,shap,123,100,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s123_n100,0.7186076615940948,0.32279760868455926,0.09259259259259257,0.37081430797528475,523.6270365054952,4509.701731
exp2,adult,mlp,shap,123,200,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s123_n200,0.7181212739867188,0.31114851717867814,0.09259259259259257,0.3693473742813858,733.9168170330231,12313.60539
exp2,adult,mlp,shap,456,50,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s456_n50,0.7149138679947132,0.34244641390011565,0.09259259259259257,0.39219997586129424,300.2849334347411,1336.862994
exp2,adult,mlp,shap,456,100,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s456_n100,0.721556971101541,0.34813904657000366,0.09259259259259257,0.38179605470268696,387.1848600616795,3390.882531
exp2,adult,mlp,shap,456,200,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s456_n200,0.7256976921848964,0.3267239976894568,0.09259259259259257,0.3920122497441198,684.0692837929237,12005.580181
exp2,adult,mlp,shap,789,50,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s789_n50,0.7238783069391198,0.34201462627484175,0.09259259259259257,0.36344497194886977,466.23672329005785,2086.024687
exp2,adult,mlp,shap,789,100,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s789_n100,0.7273719959935443,0.3398456992780129,0.09259259259259257,0.38025064460613095,721.2694405134243,6152.964097
exp2,adult,mlp,shap,789,200,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s789_n200,0.7263784423050137,0.332403003231685,0.09259259259259257,0.3747260186320709,465.92816140531795,8241.875674
exp2,adult,mlp,shap,999,50,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s999_n50,0.7365528161445201,0.3236548981555129,0.09259259259259257,0.34575205349251376,481.48910660500405,2163.477836
exp2,adult,mlp,shap,999,100,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s999_n100,0.7333145556857061,0.3228252596550925,0.09259259259259257,0.3719627187703977,294.56768477728474,2556.080828
exp2,adult,mlp,shap,999,200,recovery_overlay,outputs/batch_results.csv::rec_p1_exp2_mlp_shap_s999_n200,0.7241095959011516,0.32056220093390303,0.09259259259259257,0.3694403402637254,709.116414247037,12164.582035
exp2,adult,rf,anchors,42,50,raw,experiments/exp2_scaled/results/rf_anchors/seed_42/n_50/results.json,0.31209393542633856,0.0011617486470244691,0.17050925925925928,0.19174999999999998,48381.20725359898,11335.806796
exp2,adult,rf,anchors,42,100,raw,experiments/exp2_scaled/results/rf_anchors/seed_42/n_100/results.json,0.3863164820782353,0.006169417594859283,0.03398148148148148,0.16504532529658136,12852.304713937265,8497.153223
exp2,adult,rf,anchors,42,200,raw,experiments/exp2_scaled/results/rf_anchors/seed_42/n_200/results.json,0.3220430878924141,0.0007702346871181976,0.16655092592592596,0.19200812499999997,48073.62479416028,45322.932719
exp2,adult,rf,anchors,123,50,raw,experiments/exp2_scaled/results/rf_anchors/seed_123/n_50/results.json,0.27315562242806257,0.0004392162960573494,0.20685185185185184,0.1975,376238.073678935,8581.821277
exp2,adult,rf,anchors,123,100,raw,experiments/exp2_scaled/results/rf_anchors/seed_123/n_100/results.json,0.28617939224086475,0.0009334041564873475,0.20006944444444444,0.19735624999999998,59724.62058170033,27199.068278
exp2,adult,rf,anchors,123,200,raw,experiments/exp2_scaled/results/rf_anchors/seed_123/n_200/results.json,0.2814315493921661,0.0008580351379257505,0.17569444444444443,0.1966342261904762,52459.37213362785,44278.863491
exp2,adult,rf,anchors,456,50,raw,experiments/exp2_scaled/results/rf_anchors/seed_456/n_50/results.json,0.31735379220811816,0.0007688650965213218,0.1521759259259259,0.19994333333333336,54957.778085139944,12981.9791
exp2,adult,rf,anchors,456,100,raw,experiments/exp2_scaled/results/rf_anchors/seed_456/n_100/results.json,0.29355230753577566,0.0005299034205082175,0.1733796296296296,0.19531125,54325.27520929038,26195.859562
exp2,adult,rf,anchors,456,200,raw,experiments/exp2_scaled/results/rf_anchors/seed_456/n_200/results.json,0.29450291896947095,0.00068825110189736,0.16774176208138472,0.19305950653120466,49823.13324958811,39497.392219
exp2,adult,rf,anchors,789,50,raw,experiments/exp2_scaled/results/rf_anchors/seed_789/n_50/results.json,0.36023615991044194,0.0018348589545640662,0.038148148148148146,0.17211906013814235,16218.863433405002,4801.486416
exp2,adult,rf,anchors,789,100,raw,experiments/exp2_scaled/results/rf_anchors/seed_789/n_100/results.json,0.3054887428339296,0.00021844942570498863,0.18962962962962962,0.20117916666666666,54952.46924371505,24274.328211
exp2,adult,rf,anchors,789,200,raw,experiments/exp2_scaled/results/rf_anchors/seed_789/n_200/results.json,0.3472748818279634,0.0024273077005966346,0.034525462962962966,0.16159955988609798,11191.413114875206,13140.724467
exp2,adult,rf,anchors,999,50,raw,experiments/exp2_scaled/results/rf_anchors/seed_999/n_50/results.json,0.30012891796266516,0.0004266449503030459,0.19194444444444442,0.18978166666666665,55978.152018154935,12274.400148
